full_name,html_url,description,first_seen_at,last_seen_at,merged_tags_json,language,stars,forks,open_issues,updated_at,license_spdx,topics_json
OpenRadioss/OpenRadioss,https://github.com/OpenRadioss/OpenRadioss,"OpenRadioss is a powerful, industry-proven finite element solver for dynamic event analysis ",2026-02-18T15:57:33Z,2026-02-18T16:21:06Z,"{""method"": [""fea"", ""fem"", ""finite-element""], ""intent"": [""solver""]}",Fortran,770,367,34,2026-02-18T10:16:31Z,AGPL-3.0,"[""explicit-dynamics"", ""fea"", ""fem"", ""finite-elements"", ""fsi""]"
JJCoding01/FEmethods,https://github.com/JJCoding01/FEmethods,"Finite Element Methods (FEmethods) can be used to calculate the shear, moment and deflection diagrams for beams. FEmethods can solve both statically determinant and statically indeterminate beams. ",2026-02-18T15:57:33Z,2026-02-18T16:21:06Z,"{""method"": [""fea"", ""fem"", ""finite-element""], ""intent"": [""solver""]}",Python,5,1,3,2026-02-04T02:40:00Z,MIT,"[""beam"", ""beam-analysis"", ""deflection"", ""fea"", ""fem"", ""finite-element-methods"", ""finite-elements"", ""indeterminate"", ""moment"", ""python"", ""python3"", ""reactions"", ""shear"", ""shear-moment"", ""statically-indeterminate"", ""statics""]"
OpenRadioss/ModelExchange,https://github.com/OpenRadioss/ModelExchange,"OpenRadioss is a powerful, industry-proven finite element solver for dynamic event analysis ",2026-02-18T15:57:33Z,2026-02-18T16:21:06Z,"{""method"": [""fea"", ""fem"", ""finite-element""], ""intent"": [""solver""]}",BitBake,14,12,1,2026-01-05T09:52:57Z,NOASSERTION,"[""explicit-dynamics"", ""fea"", ""fem"", ""finite-elements"", ""fsi""]"
dwave-examples/feature-selection,https://github.com/dwave-examples/feature-selection,Use a hybrid solver to select features from two data sets,2026-02-18T15:57:33Z,2026-02-18T15:57:33Z,"{""method"": [""fea""], ""intent"": [""solver""]}",Python,16,20,0,2025-10-14T17:23:50Z,Apache-2.0,"[""cqm"", ""hybrid-solution"", ""intermediate"", ""miqp"", ""optimization""]"
atomic-solvers/featom,https://github.com/atomic-solvers/featom,Finite Element Solvers for Atomic Structure Calculations,2026-02-18T15:57:33Z,2026-02-18T16:33:19Z,"{""method"": [""fea"", ""finite-element""], ""intent"": [""solver""], ""domain"": [""dft""]}",Fortran,12,2,12,2025-10-13T02:43:53Z,MIT,"[""atomic-structures"", ""dft"", ""finite-element-methods"", ""hartree-fock""]"
zanellia/feasible_sqp,https://github.com/zanellia/feasible_sqp,A solver for nonlinear programming based on a sequential quadratic programming strategy with feasible intermediate iterates.,2026-02-18T15:57:33Z,2026-02-19T05:05:54Z,"{""method"": [""fea""], ""intent"": [""solver""], ""domain"": [""nonlinear""]}",NMODL,22,2,1,2025-08-26T14:31:05Z,,"[""high-performance-computing"", ""model-predictive-control"", ""nonlinear-programming"", ""numerical-optimal-control"", ""numerical-optimization"", ""optimal-control""]"
open-beam/openbeam,https://github.com/open-beam/openbeam,"A C++ library for mechanical structures: a YAML definition language, static solver and on-line apps",2026-02-18T15:57:33Z,2026-02-18T16:05:43Z,"{""method"": [""fea"", ""fem""], ""intent"": [""solver""]}",C++,21,1,0,2025-09-13T18:18:57Z,GPL-3.0,"[""c-plus-plus"", ""fea"", ""fem"", ""strength-of-materials""]"
AryaKoureshi/EEG-Signal-Classification-using-CSP-Features,https://github.com/AryaKoureshi/EEG-Signal-Classification-using-CSP-Features,"This repository contains a Python implementation for solving a two-class classification problem using CSP features extracted from EEG data. The classification task involves discriminating between mental tasks, specifically imagining foot movement and performing mental discrimination.",2026-02-18T15:57:33Z,2026-02-18T15:57:33Z,"{""method"": [""fea""], ""intent"": [""solver""]}",Jupyter Notebook,8,1,0,2025-12-15T11:51:11Z,MIT,"[""csp"", ""eeg"", ""kfold-cross-validation"", ""knn"", ""lda"", ""mne"", ""python"", ""svm""]"
tariqridwan/FEA-fluids,https://github.com/tariqridwan/FEA-fluids,Finite element method codes to solve 1D Convection-Diffusion equation,2026-02-18T15:57:33Z,2026-02-18T16:21:06Z,"{""method"": [""fea"", ""finite-element""], ""intent"": [""solver""], ""domain"": [""fluid""]}",MATLAB,1,1,0,2024-08-27T14:59:36Z,,"[""convection-diffusion"", ""finite-element-analysis"", ""matlab""]"
cyanray/Truss,https://github.com/cyanray/Truss,A toy Finite Element Method (FEM) solver for linear elasticity  written in C++20.,2026-02-18T15:57:33Z,2026-02-18T16:21:06Z,"{""method"": [""fea"", ""fem"", ""finite-element""], ""intent"": [""solver""]}",C++,7,1,1,2025-05-18T06:04:37Z,MPL-2.0,"[""cpp"", ""fea"", ""fem""]"
yamizi/FeatureNet,https://github.com/yamizi/FeatureNet,"Deep Neural Networks (DNNs) are intensively used to solve a wide variety of complex problems. Although powerful, such systems re- quire manual configuration and tuning. To this end, we view DNNs as configurable systems and propose an end-to-end framework that allows the configuration, evaluation and automated search for DNN architectures. Our FM and framework have been released in this repository to support replication and future research.",2026-02-18T15:57:33Z,2026-02-19T05:08:36Z,"{""method"": [""deep-neural-networks"", ""fea""], ""intent"": [""solver""]}",Python,4,4,5,2023-08-01T12:21:10Z,,"[""architecture"", ""configurable-software"", ""deep-learning"", ""machine-learning""]"
precise-simulation/fea-solver-benchmark,https://github.com/precise-simulation/fea-solver-benchmark,"Fortan, Julia, Octave, and MATLAB FEA Solver Benchmark and Comparison",2026-02-18T15:57:33Z,2026-02-18T15:57:33Z,"{""method"": [""fea""], ""intent"": [""solver""]}",Julia,7,1,0,2025-06-16T15:13:15Z,AGPL-3.0,"[""benchmark"", ""fea"", ""finite-element-methods"", ""fortran"", ""julia"", ""matlab"", ""octave"", ""solver""]"
Kamesh-K/GA-Truss-Optimization,https://github.com/Kamesh-K/GA-Truss-Optimization,A genetic algorithm-based truss topology optimization solver programmed in MATLAB ,2026-02-18T15:57:33Z,2026-02-19T05:11:04Z,"{""method"": [""fea"", ""topology-optimization""], ""intent"": [""solver""]}",MATLAB,5,2,0,2025-10-11T19:20:43Z,,"[""fea"", ""genetic-algorithm"", ""genetic-algorithms"", ""solver"", ""truss-optimization"", ""truss-solver""]"
JCCopyrights/MIF3,https://github.com/JCCopyrights/MIF3,Matlab Interface For Fast Field Solvers,2026-02-18T15:57:33Z,2026-02-18T15:57:33Z,"{""method"": [""fea""], ""intent"": [""solver""]}",MATLAB,7,3,0,2025-05-21T13:55:21Z,GPL-3.0,"[""fasthenry"", ""fea"", ""interface"", ""magnetic"", ""matlab"", ""wpt""]"
adiv-phpian/php-instagram-private-api-with-checkpoint-feature,https://github.com/adiv-phpian/php-instagram-private-api-with-checkpoint-feature,This is a liam cottle instagram private library with checkpoint issue solved. Checkpoint required error solved and can be found at examples folder.,2026-02-18T15:57:33Z,2026-02-18T15:57:33Z,"{""method"": [""fea""], ""intent"": [""solver""]}",PHP,12,8,7,2023-07-20T11:32:31Z,MIT,"[""api"", ""checkpoint"", ""checkpoint-issue-solved"", ""instagram"", ""instagram-checkpoint-problem"", ""liam-cottle-library"", ""mgp25""]"
MultiphaseFlowLab/MHIT36,https://github.com/MultiphaseFlowLab/MHIT36,Multi-GPU code for intreface-resolved simulations of multiphase turbulence (triply periodic box and channel). DNS of Navier-Stokes equations coupled with a phase-field method (ACDI) for interface description. The cuDecomp library is used for parallelization.,2026-02-18T15:57:37Z,2026-02-18T16:34:54Z,"{""domain"": [""multiphase"", ""navier-stokes"", ""phase-field""], ""intent"": [""simulation""]}",Fortran,28,6,0,2026-02-17T12:38:56Z,MIT,"[""dns"", ""gpu-computing"", ""openacc"", ""phase-field-method""]"
PhasicFlow/PhasicFlowPlus,https://github.com/PhasicFlow/PhasicFlowPlus,Fluid-particle coupling for multiphase flow based on PhasicFlow and OpenFOAM,2026-02-18T15:57:37Z,2026-02-19T05:03:37Z,"{""domain"": [""fluid"", ""multiphase""], ""intent"": [""simulation""], ""hpc"": [""openmp""]}",C++,66,16,8,2026-02-18T20:39:44Z,GPL-3.0,"[""cfd-dem"", ""cuda"", ""dem"", ""multiphase-flow"", ""openfoam"", ""openmp"", ""parallel"", ""parallel-computing"", ""phasicflow"", ""simulation""]"
solution-seeker-as/manywells,https://github.com/solution-seeker-as/manywells,Official repo of the ManyWells project - sharing data and code for simulating multiphase flow in oil and gas wells,2026-02-18T15:57:37Z,2026-02-19T05:04:57Z,"{""domain"": [""gas"", ""multiphase""], ""intent"": [""simulation""]}",Python,12,2,4,2026-01-12T10:29:31Z,NOASSERTION,"[""datasets"", ""multiphase-flow"", ""petroleum-engineering"", ""simulation""]"
maptor/maptor,https://github.com/maptor/maptor,MAPTOR: Multiphase Adaptive Trajectory Optimizer,2026-02-18T15:57:37Z,2026-02-18T15:57:37Z,"{""domain"": [""multiphase""], ""intent"": [""simulation""]}",Python,45,2,1,2026-02-10T00:39:02Z,LGPL-3.0,"[""aerospace"", ""autonomous"", ""engineering"", ""mathematics"", ""nonlinear-optimization"", ""nonlinear-programming"", ""numerical"", ""optimal-control"", ""optimization"", ""planning"", ""python"", ""robotics"", ""scientific-computing"", ""simulation"", ""trajectory""]"
tp5uiuc/parallel_slab,https://github.com/tp5uiuc/parallel_slab,A benchmark for multiphase fluid--elasticity coupled problems,2026-02-18T15:57:37Z,2026-02-18T16:36:54Z,"{""domain"": [""elasticity"", ""fluid"", ""multiphase""], ""intent"": [""benchmark"", ""simulation""]}",Python,1,1,0,2024-08-27T12:25:48Z,NOASSERTION,"[""continuum-mechanics"", ""fluid-structure-interaction"", ""physics"", ""simulation""]"
je-santos/syntheticFractures,https://github.com/je-santos/syntheticFractures,Matlab codes to create synthetic fractures for multiphase simulation,2026-02-18T15:57:37Z,2026-02-18T16:07:25Z,"{""domain"": [""fracture"", ""multiphase""], ""intent"": [""simulation""]}",MATLAB,16,3,0,2025-12-15T13:01:09Z,,"[""fractures"", ""multiphase-flow"", ""rock"", ""volumetric-data""]"
Franjcf/hybridPorousInterFoam,https://github.com/Franjcf/hybridPorousInterFoam,OpenFOAM solver for performing single- and two-phase flow simulations on hybrid-scale porous media. ,2026-02-18T15:57:37Z,2026-02-19T05:35:35Z,"{""domain"": [""multiphase"", ""two-phase-flow""], ""intent"": [""simulation"", ""solver""], ""method"": [""openfoam""]}",C++,108,40,5,2026-01-12T03:30:01Z,GPL-3.0,"[""capillary-pressure"", ""cfd"", ""coastal-engineering"", ""fractures"", ""micro-ct"", ""multiphase"", ""openfoam"", ""porous-media"", ""porous-media-flow"", ""relative-permeability""]"
mirsandiharyo/multiphase_flows_front_tracking_MATLAB_OOP,https://github.com/mirsandiharyo/multiphase_flows_front_tracking_MATLAB_OOP,MATLAB code for simulations of 2D gas-liquid multiphase flows using Front-Tracking type method.,2026-02-18T15:57:37Z,2026-02-19T05:04:57Z,"{""domain"": [""gas"", ""multiphase""], ""intent"": [""simulation""]}",MATLAB,3,1,2,2025-10-11T19:22:06Z,,"[""cfd"", ""computational-physics""]"
sthavishtha/turbulence-codes,https://github.com/sthavishtha/turbulence-codes,"Curated list of some open-source codes for turbulent flow simulations, including turbulent multiphase, turbulent reacting flows, turbulent convection and turbulent atmospheric physics. ",2026-02-18T15:57:37Z,2026-02-18T16:34:54Z,"{""domain"": [""multiphase"", ""navier-stokes""], ""intent"": [""simulation""]}",,129,29,3,2026-02-10T10:25:57Z,,"[""afid-gpu"", ""atmospheric-physics"", ""cfd"", ""compressible-flows"", ""computational-fluid-dynamics"", ""computational-physics"", ""convection"", ""fluid-dynamics"", ""hpc"", ""low-mach"", ""multiphase-flow"", ""navier-stokes"", ""numerical-frameworks"", ""numerical-methods"", ""numerical-simulations"", ""open-source"", ""reacting-flows"", ""turbulence"", ""turbulence-models"", ""turbulent-flows""]"
mirsandiharyo/multiphase_flows_front_tracking_python,https://github.com/mirsandiharyo/multiphase_flows_front_tracking_python,Python code for simulations of 2D gas-liquid multiphase flows using Front-Tracking type method.,2026-02-18T15:57:37Z,2026-02-19T05:04:57Z,"{""domain"": [""gas"", ""multiphase""], ""intent"": [""simulation""]}",Python,16,4,1,2026-02-14T13:23:28Z,,"[""cfd"", ""computational-physics""]"
mirsandiharyo/multiphase_flows_front_tracking_MATLAB,https://github.com/mirsandiharyo/multiphase_flows_front_tracking_MATLAB,MATLAB code for simulations of 2D gas-liquid multiphase flows using Front-Tracking type method.,2026-02-18T15:57:37Z,2026-02-19T05:04:57Z,"{""domain"": [""gas"", ""multiphase""], ""intent"": [""simulation""]}",MATLAB,9,1,1,2025-05-28T14:43:56Z,,"[""cfd"", ""computational-physics""]"
florisa/MultiphaseAbaqusSimulation,https://github.com/florisa/MultiphaseAbaqusSimulation,WZL Multiphase Simulation,2026-02-18T15:57:37Z,2026-02-18T15:57:37Z,"{""domain"": [""multiphase""], ""intent"": [""simulation""]}",Java,1,2,1,2024-10-13T02:28:53Z,,"[""abaqus"", ""eclipse"", ""java"", ""mechanical-engineering""]"
xatu-code/xatu,https://github.com/xatu-code/xatu,Xatu solves the Bethe-Salpeter equation in solids to obtain the exciton spectrum,2026-02-18T15:57:47Z,2026-02-18T16:33:19Z,"{""domain"": [""dft"", ""electronic-structure"", ""optics""], ""intent"": [""solver""]}",C++,29,12,3,2026-01-07T11:35:47Z,GPL-3.0,"[""absorption"", ""bethe-salpeter"", ""condensed-matter-physics"", ""density-functional-theory"", ""dft"", ""electronic-structure"", ""excitons"", ""localized-orbitals"", ""optics"", ""solid-state-physics"", ""tight-binding"", ""wavefunction""]"
KAHR-Alpha/Aether,https://github.com/KAHR-Alpha/Aether,"An optics simulation suite for Windows and Linux, including a raytracer, a FDTD solver and various tools.",2026-02-18T15:57:47Z,2026-02-19T05:05:59Z,"{""domain"": [""fdtd"", ""optical-design"", ""optics"", ""ray-tracing"", ""raytracing""], ""intent"": [""simulation"", ""solver""], ""method"": [""ray-tracing""]}",C++,29,5,9,2025-12-18T17:05:10Z,Apache-2.0,"[""fdtd"", ""geometric-optics"", ""multilayer-films"", ""optical-design"", ""optics"", ""optics-simulation"", ""ray-optics"", ""ray-tracing"", ""raytracing"", ""scientific-computing"", ""wxwidgets""]"
bsumlin/PyMieScatt,https://github.com/bsumlin/PyMieScatt,"A collection of forward and inverse Mie solving routines for Python 3, based on Bohren and Huffman's Mie Theory derivations",2026-02-18T15:57:47Z,2026-02-18T16:11:57Z,"{""domain"": [""electromagnetics"", ""optics""], ""intent"": [""solver""]}",Python,119,48,14,2025-12-05T01:12:27Z,MIT,"[""aerosol"", ""atmospheric-scattering"", ""atmospheric-science"", ""electromagnetics"", ""light-scattering"", ""mie"", ""optics"", ""physics"", ""python-3"", ""python3"", ""science""]"
Dengda98/PyFMM,https://github.com/Dengda98/PyFMM,"PyFMM is a C/Python package for solving eikonal equation using Fast Marching/Sweeping Method, with examples and annotations online. 基于Fast Marching/Sweeping Method求解程函方程得到走时场的C/Python程序包，在线文档包括示例和注释。 ",2026-02-18T15:57:47Z,2026-02-18T16:27:33Z,"{""domain"": [""optics""], ""intent"": [""solver""], ""bait"": [""c++""]}",C,20,1,0,2025-12-29T01:41:51Z,GPL-3.0,"[""c"", ""geophysics"", ""optics"", ""physics"", ""python"", ""seismology""]"
mpasson/A_FMM,https://github.com/mpasson/A_FMM,Python Implementation of Aperiodic Fourier Modal Method for solving Maxwell equations.,2026-02-18T15:57:47Z,2026-02-19T05:16:44Z,"{""domain"": [""maxwell"", ""optics"", ""photonics""], ""intent"": [""solver""]}",Python,23,2,0,2026-01-09T02:38:53Z,MIT,"[""fourier-methods"", ""gratings"", ""maxwell-equations-solver"", ""optics"", ""photonics""]"
WUST-FOG/gnlse-python,https://github.com/WUST-FOG/gnlse-python,Generalized Nonlinear Schrodringer Equation solver,2026-02-18T15:57:47Z,2026-02-19T05:05:57Z,"{""domain"": [""nonlinear"", ""optics""], ""intent"": [""simulation"", ""solver""]}",Python,68,30,5,2026-01-22T03:15:51Z,MIT,"[""fft"", ""fibers"", ""gnlse"", ""nonlinear-fiber-optics"", ""nonlinear-optics"", ""nonlinear-simulations"", ""ode-solver"", ""optics"", ""python"", ""raman-response"", ""simulation"", ""split-step-fourier-transform"", ""supercontinuum-generation""]"
bjornsturmberg/NumBAT,https://github.com/bjornsturmberg/NumBAT,"NumBAT, the Numerical Brillouin Analysis Tool, integrates electromagnetic and acoustic mode solvers to calculate the interactions of optical and acoustic waves in waveguides.",2026-02-18T15:57:47Z,2026-02-18T16:11:57Z,"{""domain"": [""electromagnetics"", ""optics""], ""intent"": [""solver""]}",Fortran,19,14,2,2025-03-19T02:14:27Z,GPL-3.0,"[""brillouin"", ""finite-element-methods"", ""optics"", ""optics-simulation"", ""physics"", ""physics-simulation""]"
tpogden/maxwellbloch,https://github.com/tpogden/maxwellbloch,A Python package for solving the coupled Maxwell-Bloch equations describing the nonlinear propagation of near-resonant light through thermal quantised systems such as atomic vapours.,2026-02-18T15:57:47Z,2026-02-19T05:16:44Z,"{""domain"": [""maxwell"", ""nonlinear"", ""optics"", ""photonics"", ""thermal""], ""intent"": [""solver""]}",Python,35,13,39,2026-02-13T07:58:16Z,MIT,"[""optics"", ""photonics"", ""quantum-information"", ""quantum-mechanics"", ""quantum-optics""]"
lorenzifrancesco/nonlinear-pulse,https://github.com/lorenzifrancesco/nonlinear-pulse,Split Step Fourier Method solver for nonlinear pulse propagation in optical fibers,2026-02-18T15:57:47Z,2026-02-19T05:05:57Z,"{""domain"": [""nonlinear"", ""optics"", ""photonics""], ""intent"": [""solver""]}",Julia,8,1,0,2025-12-17T10:54:16Z,MIT,"[""fiber"", ""optics"", ""photonics""]"
smhooten/TMatrixOpt,https://github.com/smhooten/TMatrixOpt,"An electromagnetic solver capable of simulating and optimizing 1D (thin-layer) structures via the semi-analytical transfer matrix method. For example, one can simulate and optimize broadband distributed Bragg reflectors, anti-reflection coatings, optical bandpass filters, and photovoltaic devices.",2026-02-18T15:57:47Z,2026-02-19T05:32:55Z,"{""domain"": [""electromagnetics"", ""optics"", ""photonics"", ""solar-cells""], ""intent"": [""simulation"", ""solver""], ""method"": [""transfer-matrix""]}",Python,19,3,0,2025-11-10T15:04:07Z,GPL-3.0,"[""adjoint-method"", ""electromagnetic-simulation"", ""electromagnetics"", ""electromagnetism"", ""optics"", ""optimization"", ""optimization-methods"", ""optimization-tools"", ""photonics"", ""photovoltaics"", ""simulation"", ""solar-cells"", ""transfer-matrix""]"
fancompute/angler,https://github.com/fancompute/angler,Frequency-domain photonic simulation and inverse design optimization for linear and nonlinear devices,2026-02-18T15:57:47Z,2026-02-19T05:05:57Z,"{""domain"": [""nonlinear"", ""optics"", ""photonics""], ""intent"": [""simulation"", ""solver""]}",Python,182,52,11,2026-02-13T09:13:30Z,MIT,"[""adjoint"", ""adjoint-sensitivities"", ""electromagnetic"", ""fdfd"", ""frequency-domain"", ""inverse-problems"", ""mkl"", ""nonlinear-devices"", ""optics"", ""optimization"", ""photonics"", ""sensitivity-analysis"", ""simulation"", ""solver""]"
isuthermography/heatsim2,https://github.com/isuthermography/heatsim2,Finite difference simulator for heat conduction,2026-02-18T15:57:51Z,2026-02-18T16:06:37Z,"{""method"": [""finite-difference""], ""intent"": [""simulation"", ""simulator""]}",Python,3,1,1,2024-04-30T18:18:11Z,,"[""finite-difference"", ""heat-conduction"", ""simulation"", ""thermography""]"
asinghvi17/diffusion-final,https://github.com/asinghvi17/diffusion-final,A flexible heat diffusion simulator written in Julia,2026-02-18T15:57:51Z,2026-02-18T16:11:30Z,"{""method"": [""finite-difference""], ""intent"": [""simulator""], ""domain"": [""heat-transfer""]}",Julia,2,2,1,2022-02-21T06:50:15Z,NOASSERTION,"[""finite-difference"", ""heat-transfer"", ""julia""]"
ayazhassan/RT-CUDA-GUI-Development,https://github.com/ayazhassan/RT-CUDA-GUI-Development,"Recent development in Graphic Processing Units (GPUs) has opened a new challenge in harnessing their computing power as a new general-purpose computing paradigm with its CUDA parallel programming. However, porting applications to CUDA remains a challenge to average programmers. We have developed a restructuring software compiler (RT-CUDA) with best possible kernel optimizations to bridge the gap between high-level languages and the machine dependent CUDA environment. RT-CUDA is based upon a set of compiler optimizations. RT-CUDA takes a C-like program and convert it into an optimized CUDA kernel with user directives in a con.figuration .file for guiding the compiler. While the invocation of external libraries is not possible with OpenACC commercial compiler, RT-CUDA allows transparent invocation of the most optimized external math libraries like cuSparse and cuBLAS. For this, RT-CUDA uses interfacing APIs, error handling interpretation, and user transparent programming. This enables efficient design of linear algebra solvers (LAS). Evaluation of RT-CUDA has been performed on Tesla K20c GPU with a variety of basic linear algebra operators (M+, MM, MV, VV, etc.) as well as the programming of solvers of systems of linear equations like Jacobi and Conjugate Gradient. We obtained significant speedup over other compilers like OpenACC and GPGPU compilers. RT-CUDA facilitates the design of efficient parallel software for developing parallel simulators (reservoir simulators, molecular dynamics, etc.) which are critical for Oil & Gas industry. We expect RT-CUDA to be needed by many industries dealing with science and engineering simulation on massively parallel computers like NVIDIA GPUs.",2026-02-18T15:57:54Z,2026-02-19T05:04:57Z,"{""domain"": [""gas"", ""molecular-dynamics""], ""intent"": [""simulation"", ""simulator"", ""solver""], ""hpc"": [""cuda"", ""gpu""]}",C,8,1,1,2025-09-20T23:00:17Z,MIT,"[""antlr"", ""c"", ""compiler"", ""cuda"", ""nvidia-cuda"", ""nvidia-gpu"", ""source-to-source"", ""translator""]"
CFD-FEA-SERVICE/CloudHPC,https://github.com/CFD-FEA-SERVICE/CloudHPC,"Scripts to handle the cloudHPC (https://cloudhpc.cloud) web app by CFD FEA SERVICE. Includes the following software: OpenFOAM, FDS Fire Dynamics Simulator, Code Aster, Code Saturne",2026-02-18T15:58:00Z,2026-02-18T15:58:00Z,"{""method"": [""fea""], ""intent"": [""simulator""]}",Python,11,2,0,2026-01-21T07:48:41Z,GPL-3.0,"[""fds"", ""hpc"", ""openfoam""]"
NGSolve/ngsolve,https://github.com/NGSolve/ngsolve,"  Netgen/NGSolve is a high performance multiphysics finite element software. It is widely used to analyze models from solid mechanics, fluid dynamics and electromagnetics. Due to its flexible Python interface new physical equations and solution algorithms can be implemented easily.",2026-02-18T15:58:04Z,2026-02-19T05:12:57Z,"{""domain"": [""electromagnetics"", ""fluid"", ""solid-mechanics""], ""intent"": [""multiphysics""], ""method"": [""fem"", ""finite-element""]}",C++,530,92,18,2026-02-17T15:59:58Z,LGPL-2.1,"[""electromagnetics"", ""fem"", ""finite-elements"", ""fluid-dynamics"", ""parallel-computing"", ""solid-mechanics""]"
rlguy/Blender-FLIP-Fluids,https://github.com/rlguy/Blender-FLIP-Fluids,"The FLIP Fluids addon is a tool that helps you set up, run, and render high quality liquid fluid effects all within Blender, the free and open source 3D creation suite.",2026-02-18T15:58:11Z,2026-02-19T05:03:37Z,"{""domain"": [""fluid""], ""intent"": [""simulation"", ""simulator""]}",C++,1862,201,5,2026-02-19T03:03:04Z,GPL-3.0,"[""beta"", ""blender-addon"", ""computer-graphics"", ""flip-fluids"", ""fluid"", ""fluid-engine"", ""fluid-simulation"", ""fluid-solver"", ""simulation"", ""simulator""]"
CTKnight/FluidSimulator,https://github.com/CTKnight/FluidSimulator,A CUDA-accelerated position based Fluid Simulator capable of simulating millions of particles in seconds,2026-02-18T15:58:11Z,2026-02-18T15:58:11Z,"{""domain"": [""fluid""], ""intent"": [""simulator""]}",C++,8,2,0,2026-01-27T07:52:36Z,,"[""computer-animation"", ""computer-graphics"", ""cuda"", ""fluid-simulation"", ""hydrostatics"", ""simulation-engine""]"
DualSPHysics/DesignSPHysics,https://github.com/DualSPHysics/DesignSPHysics,Module for FreeCAD intended to use with DualSPHysics fluid simulator.,2026-02-18T15:58:11Z,2026-02-18T16:24:08Z,"{""domain"": [""fluid""], ""intent"": [""simulator""], ""method"": [""sph""]}",Python,142,43,29,2026-02-01T00:32:19Z,NOASSERTION,"[""fluids"", ""freecad"", ""pyside"", ""python"", ""qt"", ""simulator"", ""sph""]"
rpardini/fluidsignalr,https://github.com/rpardini/fluidsignalr,"PavelDoGreat's WebGL fluid simulator, but multi-user and with MIDI knobs. Using ASP.NET Core 5, SignalR, multiarch Docker, running on K8s on arm64",2026-02-18T15:58:11Z,2026-02-18T15:58:11Z,"{""domain"": [""fluid""], ""intent"": [""simulator""]}",JavaScript,3,2,9,2026-01-07T01:48:08Z,,"[""asp-net-core"", ""docker"", ""signalr"", ""webgl"", ""webmidi""]"
gopmur/OpenSayal,https://github.com/gopmur/OpenSayal,Real-time GPU accelerated fluid simulator,2026-02-18T15:58:11Z,2026-02-18T15:58:11Z,"{""domain"": [""fluid""], ""intent"": [""simulator""]}",Cuda,23,2,7,2025-11-20T21:04:53Z,MIT,"[""cfd"", ""cuda"", ""fluid-simulation"", ""gpu-computing""]"
shobuzako-kensuke/LS-SPH-Fluid-Simulator,https://github.com/shobuzako-kensuke/LS-SPH-Fluid-Simulator,A fluid simulator using LS-SPH method,2026-02-18T15:58:11Z,2026-02-18T16:24:08Z,"{""domain"": [""fluid""], ""intent"": [""simulator""], ""method"": [""sph""]}",Python,3,3,1,2025-10-09T07:49:20Z,MIT,"[""fluid-simulation"", ""least-squares-sph"", ""particle-methods"", ""sph""]"
Project-PLATEAU/Fluid-dynamics-simulator,https://github.com/Project-PLATEAU/Fluid-dynamics-simulator,日射や風況等に基づく温熱環境シミュレーションシステム,2026-02-18T15:58:11Z,2026-02-18T15:58:11Z,"{""domain"": [""fluid""], ""intent"": [""simulator""]}",PHP,4,2,0,2025-09-11T06:43:25Z,Apache-2.0,"[""citygml"", ""plateau-usecase""]"
JimZhouZZY/LBM-Fluid-Simulator,https://github.com/JimZhouZZY/LBM-Fluid-Simulator,A fluid simulator using Lattice-Boltzmann Method with simple and convenient GUI for educational purpose. 一个拥有漂亮易用的GUI的、使用格子玻尔兹曼法的、教育用途的流体力学数值计算和动画展示程序。,2026-02-18T15:58:11Z,2026-02-18T16:41:02Z,"{""domain"": [""fluid""], ""intent"": [""simulator""], ""method"": [""lattice-boltzmann"", ""lbm""]}",Python,32,6,1,2025-12-17T00:26:27Z,MIT,"[""cfd"", ""educational-software"", ""fluid-dynamics"", ""fluid-simulation"", ""lattice-boltzmann-method"", ""lbm"", ""lbm-2d"", ""lbm-d2q9"", ""matplotlib"", ""python""]"
axoloto/RealTimeParticles,https://github.com/axoloto/RealTimeParticles,"Minimalist real-time 3D particles simulator (Boids, Fluids, Clouds) based on OpenGL/OpenCL frameworks",2026-02-18T15:58:11Z,2026-02-18T15:58:11Z,"{""domain"": [""fluid""], ""intent"": [""simulator""]}",C++,45,7,1,2025-11-25T13:01:00Z,MIT,"[""boids"", ""fluids"", ""gpu"", ""imgui"", ""opencl"", ""opengl"", ""particle"", ""pbf"", ""physics-simulation"", ""position-based-fluids""]"
0xekez/fluidsim,https://github.com/0xekez/fluidsim,A GPU fluid simulator for the web browser written in p5js.,2026-02-18T15:58:11Z,2026-02-18T15:58:11Z,"{""domain"": [""fluid""], ""intent"": [""simulator""]}",JavaScript,3,2,0,2024-11-20T23:47:53Z,BSD-3-Clause,"[""fluid-simulation"", ""p5js"", ""webgl""]"
mjayadharan/MMMFE-ST-DD,https://github.com/mjayadharan/MMMFE-ST-DD,Fluid flow simulator using MFEM and multiscale space-time sub-domains.  ,2026-02-18T15:58:11Z,2026-02-18T15:58:11Z,"{""domain"": [""fluid""], ""intent"": [""simulator""]}",C++,4,1,0,2025-07-01T09:24:48Z,,"[""cfd"", ""domain-decomposition"", ""efficient-algorithm"", ""finite-element-methods"", ""fluid-dynamics"", ""geoscience"", ""hpc"", ""mpi"", ""multi-processing"", ""numerical-methods"", ""parallel-computing"", ""pde"", ""space-time""]"
